symbol,name,exchange,type
EIC,Eagle Point Income Company Inc.,New York Stock Exchange,stock
WY,Weyerhaeuser Company,New York Stock Exchange,stock
PMT,PennyMac Mortgage Investment Trust,New York Stock Exchange,stock
LBRT,Liberty Energy Inc.,New York Stock Exchange,stock
PDM,Piedmont Office Realty Trust  Inc.,New York Stock Exchange,stock
SPE,Special Opportunities Fund  Inc.,New York Stock Exchange,stock
VNO-PL,Vornado Realty Trust,New York Stock Exchange,stock
MTZ,MasTec  Inc.,New York Stock Exchange,stock
NOMD,Nomad Foods Limited,New York Stock Exchange,stock
OC,Owens Corning,New York Stock Exchange,stock
MUA,BlackRock MuniAssets Fund  Inc.,New York Stock Exchange,stock
RSI,Rush Street Interactive  Inc.,New York Stock Exchange,stock
AVAL,Grupo Aval Acciones y Valores S.A.,New York Stock Exchange,stock
JANX,Janux Therapeutics  Inc.,NASDAQ Global Market,stock
PLYM,Plymouth Industrial REIT  Inc.,New York Stock Exchange,stock
WNC,Wabash National Corporation,New York Stock Exchange,stock
SHEL,Shell plc,New York Stock Exchange,stock
YUM,Yum! Brands  Inc.,New York Stock Exchange,stock
LITM,Snow Lake Resources Ltd.,NASDAQ Capital Market,stock
BOF,BranchOut Food Inc.,NASDAQ Capital Market,stock
GBTG,Global Business Travel Group  Inc.,New York Stock Exchange,stock
GLPG,Galapagos NV,NASDAQ Global Select,stock
AIFU,AIX Inc.,NASDAQ Global Market,stock
AVTR,Avantor  Inc.,New York Stock Exchange,stock
AR,Antero Resources Corporation,New York Stock Exchange,stock
WM,Waste Management  Inc.,New York Stock Exchange,stock
FDP,Fresh Del Monte Produce Inc.,New York Stock Exchange,stock
FUBO,fuboTV Inc.,New York Stock Exchange,stock
WS,Worthington Steel  Inc.,New York Stock Exchange,stock
NWG,NatWest Group plc,New York Stock Exchange,stock
VLRS,Controladora Vuela Compañía de Aviación  S.A.B. de C.V.,New York Stock Exchange,stock
VLTO,Veralto Corporation,New York Stock Exchange,stock
BWLP,BW LPG Limited,New York Stock Exchange,stock
CCAP,Crescent Capital BDC  Inc.,NASDAQ Global Market,stock
CETX,Cemtrex  Inc.,NASDAQ Capital Market,stock
VVV,Valvoline Inc.,New York Stock Exchange,stock
BKKT,Bakkt Holdings  Inc.,New York Stock Exchange,stock
AAPG,Ascentage Pharma Group Internat,NASDAQ Global Market,stock
AGNCO,AGNC Investment Corp.,NASDAQ Global Select,stock
CERO,CERo Therapeutics Holdings  Inc.,NASDAQ Global Market,stock
CAAP,Corporación América Airports S.A.,New York Stock Exchange,stock
BXP,Boston Properties  Inc.,New York Stock Exchange,stock
KLG,WK Kellogg Co,New York Stock Exchange,stock
EWCZ,European Wax Center  Inc.,NASDAQ Global Select,stock
GB,Global Blue Group Holding AG,New York Stock Exchange,stock
TEL,TE Connectivity Ltd.,New York Stock Exchange,stock
THS,TreeHouse Foods  Inc.,New York Stock Exchange,stock
LSPD,Lightspeed Commerce Inc.,New York Stock Exchange,stock
PGRE,Paramount Group  Inc.,New York Stock Exchange,stock
SEDG,SolarEdge Technologies  Inc.,NASDAQ Global Select,stock
YOU,Clear Secure  Inc.,New York Stock Exchange,stock
CSPI,CSP Inc.,NASDAQ Global Market,stock
DB,Deutsche Bank AG,New York Stock Exchange,stock
DQ,Daqo New Energy Corp.,New York Stock Exchange,stock
BRO,Brown & Brown  Inc.,New York Stock Exchange,stock
ICU,SeaStar Medical Holding Corporation,NASDAQ Capital Market,stock
MHK,Mohawk Industries  Inc.,New York Stock Exchange,stock
PEN,Penumbra  Inc.,New York Stock Exchange,stock
BROS,Dutch Bros Inc.,New York Stock Exchange,stock
CSL,Carlisle Companies Incorporated,New York Stock Exchange,stock
ARMK,Aramark,New York Stock Exchange,stock
EVRI,Everi Holdings Inc.,New York Stock Exchange,stock
GMS,GMS Inc.,New York Stock Exchange,stock
RGLS,Regulus Therapeutics Inc.,NASDAQ Capital Market,stock
KTTA,Pasithea Therapeutics Corp.,NASDAQ Capital Market,stock
DNB,Dun & Bradstreet Holdings  Inc.,New York Stock Exchange,stock
MS-PQ,Morgan Stanley,New York Stock Exchange,stock
BBUC,Brookfield Business Corporation,New York Stock Exchange,stock
BTI,British American Tobacco p.l.c.,New York Stock Exchange,stock
CIVI,Civitas Resources  Inc.,New York Stock Exchange,stock
CRM,Salesforce  Inc.,New York Stock Exchange,stock
FENG,Phoenix New Media Limited,New York Stock Exchange,stock
MSCI,MSCI Inc.,New York Stock Exchange,stock
GL,Globe Life Inc.,New York Stock Exchange,stock
HVT,Haverty Furniture Companies  Inc.,New York Stock Exchange,stock
LU,Lufax Holding Ltd,New York Stock Exchange,stock
PEO,Adams Natural Resources Fund  Inc.,New York Stock Exchange,stock
